No,Compound name,SMILES,Lecithin(%),pH,DMSO_Conc (w/v%),Donor_Plate_Volume (µm),Acceptor_Plate_Volume (µm),Temperature (??,Incubation_Time (hr),%T/MR,Pe,logPe,Source,SMILES_clean,PC1_acid_base_score,AcidBaseClass
1.0,Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1.0,5.5,5.0,300.0,300.0,25.0,17.0,45.37,20.92,-4.67943832,https://www.sciencedirect.com/science/article/pii/S0928098717300179,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.05640436250639503,Neutral
2.0,1A,CC(CC(=O)O)(C1=CC=C(C=C1)C2=CC=CC=C2)O,1.0,5.5,5.0,300.0,300.0,25.0,17.0,4.47,0.82,-6.086186148,https://www.sciencedirect.com/science/article/pii/S0928098717300179,CC(O)(CC(=O)O)c1ccc(-c2ccccc2)cc1,-0.038590233082092654,Neutral
3.0,1B,CC(C(=O)O)C(C)(C1=CC=C(C=C1)C2=CC=CC=C2)O,1.0,5.5,5.0,300.0,300.0,25.0,17.0,18.18,3.96,-5.402304814,https://www.sciencedirect.com/science/article/pii/S0928098717300179,CC(C(=O)O)C(C)(O)c1ccc(-c2ccccc2)cc1,-0.03709761152606257,Neutral
4.0,1C,CC(C)(C(=O)O)C(C)(C1=CC=C(C=C1)C2=CC=CC=C2)O,1.0,5.5,5.0,300.0,300.0,25.0,17.0,30.74,8.36,-5.077793723,https://www.sciencedirect.com/science/article/pii/S0928098717300179,CC(C)(C(=O)O)C(C)(O)c1ccc(-c2ccccc2)cc1,-0.035560652917097,Neutral
5.0,2A,C1=CC=C(C=C1)C(CC(=O)O)(C2=CC=CC=C2)O,1.0,5.5,5.0,300.0,300.0,25.0,17.0,1.55,0.28,-6.552841969,https://www.sciencedirect.com/science/article/pii/S0928098717300179,O=C(O)CC(O)(c1ccccc1)c1ccccc1,-0.04020365080038832,Neutral
6.0,2B,CC(C(=O)O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,1.0,5.5,5.0,300.0,300.0,25.0,17.0,0.59,0.1,-7.0,https://www.sciencedirect.com/science/article/pii/S0928098717300179,CC(C(=O)O)C(O)(c1ccccc1)c1ccccc1,-0.03871102924435824,Neutral
7.0,2C,CC(C)(C(=O)O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,1.0,5.5,5.0,300.0,300.0,25.0,17.0,16.86,3.6,-5.443697499,https://www.sciencedirect.com/science/article/pii/S0928098717300179,CC(C)(C(=O)O)C(O)(c1ccccc1)c1ccccc1,-0.037174070635392666,Neutral
8.0,2APN,C1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1[N+]([O-])=O,1.0,5.5,5.0,300.0,300.0,25.0,17.0,0.99,0.18,-6.744727495,https://www.sciencedirect.com/science/article/pii/S0928098717300179,O=C(O)CC(O)(c1ccccc1)c1cccc([N+](=O)[O-])c1,-0.0228887257902439,Neutral
9.0,2APTF,C(C(F)(F)F)1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1,1.0,5.5,5.0,300.0,300.0,25.0,17.0,8.66,1.6,-5.795880017,https://www.sciencedirect.com/science/article/pii/S0928098717300179,O=C(O)CC(O)(c1ccccc1)c1ccc(C(F)(F)F)cc1,-0.033625387308896214,Neutral
10.0,2APH,C1=CC=C(C=C1)C(CC(=O)O)(C2=CC=C(C=C2)Cl)O,1.0,5.5,5.0,300.0,300.0,25.0,17.0,5.06,0.93,-6.031517051,https://www.sciencedirect.com/science/article/pii/S0928098717300179,O=C(O)CC(O)(c1ccccc1)c1ccc(Cl)cc1,-0.03756027997533131,Neutral
11.0,2APM,CC1=CC=C(C=C1)C(CC(=O)O)(C2=CC=CC=C2)O,1.0,5.5,5.0,300.0,300.0,25.0,17.0,3.67,0.67,-6.173925197,https://www.sciencedirect.com/science/article/pii/S0928098717300179,Cc1ccc(C(O)(CC(=O)O)c2ccccc2)cc1,-0.03869182370067862,Neutral
12.0,2AMTF,C1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1C(F)(F)F,1.0,5.5,5.0,300.0,300.0,25.0,17.0,7.12,1.35,-5.869666232,https://www.sciencedirect.com/science/article/pii/S0928098717300179,O=C(O)CC(O)(c1ccccc1)c1cccc(C(F)(F)F)c1,-0.033625387308896214,Neutral
13.0,2AMH,C1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1Cl,1.0,5.5,5.0,300.0,300.0,25.0,17.0,5.88,1.09,-5.962573502,https://www.sciencedirect.com/science/article/pii/S0928098717300179,O=C(O)CC(O)(c1ccccc1)c1cccc(Cl)c1,-0.037560279975331304,Neutral
14.0,2AMM,CC1=CC(=CC=C1)C(CC(=O)O)(C2=CC=CC=C2)O,1.0,5.5,5.0,300.0,300.0,25.0,17.0,3.91,0.71,-6.148741651,https://www.sciencedirect.com/science/article/pii/S0928098717300179,Cc1cccc(C(O)(CC(=O)O)c2ccccc2)c1,-0.03869182370067862,Neutral
15.0,,CSC1=NC2=C(C3=CC=CC=C3N2CCC4=CC=CC=C4)N=N1,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CSc1nnc2c3ccccc3n(CCc3ccccc3)c2n1,-0.02534512332920625,Neutral
16.0,,CCN(CC)C(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCN(CC)C(=O)N1c2ccccc2C=Cc2ccccc21,-0.04770717938967851,Neutral
17.0,,C1=CC=C(C=C1)CN2C(=C(C3=NC4=CC=CC=C4N=C32)S(=O)(=O)C5=CC=CS5)N,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,Nc1c(S(=O)(=O)c2cccs2)c2nc3ccccc3nc2n1Cc1ccccc1,0.0029153580408785296,Neutral
18.0,,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,74.15,-4.129888845,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,O=C(O)c1ccc(Nc2nc(-c3cc4ccccc4oc3=O)cs2)cc1O,0.005547266165072496,Neutral
19.0,,CCOC1=C(C=C(C=C1)S(=O)(=O)NCC2=CN=CC=C2)NC(=O)C3=CC=CC=C3F,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,278.38,-3.555361969,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCOc1ccc(S(=O)(=O)NCc2cccnc2)cc1NC(=O)c1ccccc1F,0.001528973674554851,Neutral
20.0,,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,20.66,-4.684869683,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1c(O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2,-0.0064114509779338025,Neutral
21.0,,COC1=C(C(=C2C(=C1)CCC(C3=CC(=O)C(=CC=C32)SC)N)OC)OC,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,55.04,-4.259321575,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(N)CC2,-0.014472197834006455,Neutral
22.0,,CN(C)CC/C=C/1\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,530.72,-3.275134546,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,-0.04554705470325982,Neutral
23.0,,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,141.95,-3.847864603,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,-0.016521631024954103,Neutral
24.0,,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,396.03,-3.402271914,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-0.023387196447872453,Neutral
25.0,,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CC3=CNC4=CC=CC=C43,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,418.75,-3.37804518,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,-0.02724013698325425,Neutral
26.0,,COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4=CC=C(C=C4)I,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,758.19,-3.120221948,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(I)cc2)c2ccccn2)CC1,-0.0023710699274458263,Neutral
27.0,,COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4=CC=C(C=C4)F,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,73.05,-4.13637978,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(F)cc2)c2ccccn2)CC1,-0.00793337481349585,Neutral
28.0,,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,98.19,-4.00793274,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,-0.013140707805863808,Neutral
29.0,,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,455.49,-3.341521153,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,-0.023315988216321124,Neutral
30.0,,C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,72.84,-4.137630063,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,-0.05303974863861677,Neutral
31.0,,CC(C)SC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,510.17,-3.292285083,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COC(=O)Nc1nc2ccc(SC(C)C)cc2[nH]1,-0.033487504340946724,Neutral
32.0,,CN1CCCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,-0.044790811476543714,Neutral
33.0,,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,262.0,-3.581698709,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,0.005820485497004927,Neutral
34.0,,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,22.02,-4.657182685,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,0.007069366562735862,Neutral
35.0,,CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,40.59,-4.391580949,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,-0.025301099722124843,Neutral
36.0,,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,39.28,-4.405828521,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,-0.0009086352734167048,Neutral
37.0,,CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,236.0,-3.627087997,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCN(CC)CCOc1ccc(Cc2ccccc2)cc1,-0.04216804013086912,Neutral
38.0,,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,4.51,-5.345823458,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,-0.007984432423678557,Neutral
39.0,,CNC1=C(N=C(O1)C2=CC=CC3=CC=CC=C32)C#N,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,644.7,-3.19064233,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CNc1oc(-c2cccc3ccccc23)nc1C#N,-0.03554532843095517,Neutral
40.0,,CN(C)C1=CC=C(C=C1)C2=NN3C(=NN=C3S2)C4=CC=CC=C4OC,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1ccccc1-c1nnc2sc(-c3ccc(N(C)C)cc3)nn12,-0.015295546694095847,Neutral
41.0,,C1=CC(=CN=C1)NC(=O)C2=CC=CS2,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,181.35,-3.74148244,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,O=C(Nc1cccnc1)c1cccs1,-0.050735558139813584,Neutral
42.0,,COC1=CC(=CC(=C1OC)OC)C(=O)N2CCN(CC2)C3=C(C=CC(=C3)Cl)Cl,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1cc(C(=O)N2CCN(c3cc(Cl)ccc3Cl)CC2)cc(OC)c1OC,-0.017510800659655327,Neutral
43.0,,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,6.63,-5.178486472,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,-0.007442518226310593,Neutral
44.0,,CC1=CC=CC=C1NC(=O)NC2=CC=CS2,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,208.73,-3.680415127,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,Cc1ccccc1NC(=O)Nc1cccs1,-0.04703544288059571,Neutral
45.0,,COC1=CC=CC(=C1)C(=O)NC2=CC3=C(C=C2)OC(=N3)C4=CC5=CC=CC=C5C=C4,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,755.8,-3.121593112,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1cccc(C(=O)Nc2ccc3oc(-c4ccc5ccccc5c4)nc3c2)c1,-0.009054820646913327,Neutral
