Molecule ChEMBL ID,SMILES,Standard Type,Standard Relation,Standard Value,Final Value(10^-6),log Pe,Result,Standard Units,Comment,Assay Description
CHEMBL4084286,CCCCCCCC1OC(=O)c2cc(-n3nc(C(F)(F)F)cc3O)ccc21,permeability,'=',0.73,0.73,-6.13667714,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,permeability,'=',16.9,16.9,-4.772113295,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL568,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,permeability,'=',9.6,9.6,-5.017728767,1,10^-6 cm/s,,0
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,permeability,'=',10.1,10.1,-4.995678626,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL2419690,N#Cc1cc(C#N)c(NC2CCN(Cc3ccccc3)CC2)nc1NC1CCN(Cc2ccccc2)CC1,permeability,'=',5,5,-5.301029996,1,10^-6 cm/s,,Permeability of the compound at 1 mg/ml after 4 hrs by PAMPA
CHEMBL3338144,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2ccccc12)C(=O)C1CC1,Papp,'=',0.18,0.18,-6.744727495,1,10^-6 cm/s,,Apparent permeability of the compound at 20 uM incubated at 20 degC for 5 hrs in 2% DMSO containing PBS buffer solution by PAMPA assay
CHEMBL3338145,CCN(Cc1cc(C(F)(F)F)ccc1-c1cn(CC(=O)O)c2ccccc12)C(=O)C1CC1,Papp,'=',0.6,0.6,-6.22184875,1,10^-6 cm/s,,Apparent permeability of the compound at 20 uM incubated at 20 degC for 5 hrs in 2% DMSO containing PBS buffer solution by PAMPA assay
CHEMBL3338149,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2cccnc21)C(=O)C1CC1,Papp,'=',1.1,1.1,-5.958607315,1,10^-6 cm/s,,Apparent permeability of the compound at 20 uM incubated at 20 degC for 5 hrs in 2% DMSO containing PBS buffer solution by PAMPA assay
CHEMBL66381,N#Cc1ccc(O)cc1,Papp,'=',17.04,17.04,-4.76853041,1,10^-6 cm/s,,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
CHEMBL14205,O=[N+]([O-])c1ccccc1O,Papp,'=',56.96,56.96,-4.244430019,1,10^-6 cm/s,,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
CHEMBL46931,Cc1ccccc1O,Papp,'=',52.1,52.1,-4.283162277,1,10^-6 cm/s,,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
CHEMBL4062746,CCCCC1OC(=O)c2cc(-n3nc(C(F)(F)F)cc3O)ccc21,permeability,'=',0.68,0.68,-6.167491087,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,permeability,'=',0.47,0.47,-6.327902142,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL1355736,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,permeability,'=',0.1,0.1,-7,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL3427798,CC(C)C[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,Papp,'=',1.52,1.52,-5.818156412,1,10^-6 cm/s,,Apparent permeability of the compound at 50 uM after 5 hrs by PAMPA method
CHEMBL3425619,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,Papp,'=',0.11,0.11,-6.958607315,1,10^-6 cm/s,,Apparent permeability of the compound at 50 uM after 5 hrs by PAMPA method
CHEMBL2087444,COc1cccc(-c2cc(NC(=O)CCCCN3CCCCC3)[nH]n2)c1,permeability,'>',10,10,-5,1,10^-6 cm/s,,Permeability of the compound at 10 uM after 4 hrs by PAMPA assay
CHEMBL2087448,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccc(Br)cc2)n[nH]1,permeability,'>',10,10,-5,1,10^-6 cm/s,,Permeability of the compound at 10 uM after 4 hrs by PAMPA assay
CHEMBL2087449,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccncc2)n[nH]1,permeability,'=',2,2,-5.698970004,1,10^-6 cm/s,,Permeability of the compound at 10 uM after 4 hrs by PAMPA assay
CHEMBL241749,CSc1nc(NCc2ccccc2)c2cnn(CC(Cl)c3ccc(Cl)cc3)c2n1,Papp,'=',1.35,1.35,-5.869666232,1,10^-6 cm/s,,Apparent permeability at pH 7.4 after 24 hrs by PAMPA method
CHEMBL392301,CCSc1nc(NCCc2ccccc2)c2cnn(CC(Cl)c3ccccc3)c2n1,Papp,'=',1.26,1.26,-5.899629455,1,10^-6 cm/s,,Apparent permeability at pH 7.4 after 24 hrs by PAMPA method
CHEMBL4215078,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,Peff,'=',0.2,0.2,-6.698970004,1,10^-6 cm/s,,Permeability of the compound in PBS at pH 7.4 after 16 hrs by PAMPA
CHEMBL5074720,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,Peff,'=',0.08,0.08,-7.096910013,1,10^-6 cm/s,,Permeability of the compound in PBS at pH 7.4 after 16 hrs by PAMPA
CHEMBL5087433,Cc1nn(CC(F)(F)F)cc1Nc1nccc(NCCCNC(=O)C2CCC2)n1,Peff,'=',2.39,2.39,-5.621602099,1,10^-6 cm/s,,Effective permeability in PBS at 7.4 incubated for 5 hrs by PAMPA analysis
CHEMBL5076165,Cc1nn(CC(F)(F)F)cc1Nc1ncc(Br)c(NCCc2cnc[nH]2)n1,Peff,'=',1.51,1.51,-5.821023053,1,10^-6 cm/s,,Effective permeability in PBS at 7.4 incubated for 5 hrs by PAMPA analysis
CHEMBL3701696,CC1c2cccc(C(N)=O)c2C(=O)N1C1CCN(C2CCCCC2)CC1,permeability,'=',39.4,39.4,-4.404503778,1,10^-6 cm/s,,Permeability of the compound in pH 7.4 HBSS at 10 uM incubated for 4 hrs by LC-MS/MS based PAMPA method
