SMILES,PC1_acid_base_score,AcidBaseClass
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-0.05713791226520451,Neutral
CC(CC(=O)O)(C1=CC=C(C=C1)C2=CC=CC=C2)O,-0.03813211141140215,Neutral
CC(C(=O)O)C(C)(C1=CC=C(C=C1)C2=CC=CC=C2)O,-0.036357886154286145,Neutral
CC(C)(C(=O)O)C(C)(C1=CC=C(C=C1)C2=CC=CC=C2)O,-0.034611509191262976,Neutral
C1=CC=C(C=C1)C(CC(=O)O)(C2=CC=CC=C2)O,-0.039830464078227754,Neutral
CC(C(=O)O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,-0.038056238821111754,Neutral
CC(C)(C(=O)O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,-0.03630986185808858,Neutral
C1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1[N+]([O-])=O,-0.018713285382671082,Neutral
C(C(F)(F)F)1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1,-0.03197058998261526,Neutral
C1=CC=C(C=C1)C(CC(=O)O)(C2=CC=C(C=C2)Cl)O,-0.03681310249197027,Neutral
CC1=CC=C(C=C1)C(CC(=O)O)(C2=CC=CC=C2)O,-0.03806830190589506,Neutral
C1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1C(F)(F)F,-0.03197058998261527,Neutral
C1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1Cl,-0.03681310249197028,Neutral
CC1=CC(=CC=C1)C(CC(=O)O)(C2=CC=CC=C2)O,-0.03806830190589506,Neutral
CSC1=NC2=C(C3=CC=CC=C3N2CCC4=CC=CC=C4)N=N1,-0.03120674337097082,Neutral
CCN(CC)C(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31,-0.052682791510617714,Neutral
C1=CC=C(C=C1)CN2C(=C(C3=NC4=CC=CC=C4N=C32)S(=O)(=O)C5=CC=CS5)N,0.0015683519574506565,Neutral
C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O,0.010463404843554767,Neutral
CCOC1=C(C=C(C=C1)S(=O)(=O)NCC2=CN=CC=C2)NC(=O)C3=CC=CC=C3F,0.0016202978375692836,Neutral
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O,-0.0006177486883405467,Neutral
COC1=C(C(=C2C(=C1)CCC(C3=CC(=O)C(=CC=C32)SC)N)OC)OC,-0.011530435989449566,Neutral
CN(C)CC/C=C/1\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,-0.05221378638844073,Neutral
CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,-0.010596430655655015,Neutral
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,-0.028336709057580584,Neutral
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CC3=CNC4=CC=CC=C43,-0.03172904790096166,Neutral
